professor,content,class_level,rating,date
Daisy Fan,She is great just do the work, CS1110,"QUALITY
4.0
DIFFICULTY
4.0","Nov 8th, 2021"
Daisy Fan,"Daisy Fan is the best! She basically inspired me to continue into comp sci, and her lectures were organized so well with an insane level of clarity. You will learn so much from her and she is so passionate about the material too. If you put in the work and time, your grade will reflect that. Go to her OH if you can, she's the sweetest!", CS1110,"QUALITY
5.0
DIFFICULTY
3.0","May 12th, 2021"
Daisy Fan,"An awesome class! She was an incredible lecturer, and all the assignments were fair, though certainly took some time. In addition, her prelims were of a good length, and you never felt incredibly rushed. I would certainly highly recommend the class to everyone", CS1112,"QUALITY
5.0
DIFFICULTY
3.0","Apr 21st, 2021"
Daisy Fan,"Took this class Fall 2020. Majority of work comes as exercises, assigments, and prelims which won't be too hard as long as you get started on time. Additionally, Professor Fan makes many of the resources easily accessible outside of class and there are definitely opportunities to talk to her outside of class as well (highly recommend!)", CS1112,"QUALITY
5.0
DIFFICULTY
3.0","Jan 15th, 2021"
Daisy Fan,"Professor Fan did a great job describing all of the different concepts that we needed to know, and I enjoyed the format for assignments as well (a short ""exercise"" each week and a ""project"" with multiple parts every two weeks). Nothing I would've changed to improve that class.", CS1112,"QUALITY
5.0
DIFFICULTY
3.0","Dec 1st, 2020"
Daisy Fan,Super energetic and passionate! Class was structured well. Projects can be difficult but there are many resources at your disposal., CS1110,"QUALITY
5.0
DIFFICULTY
3.0","Dec 1st, 2020"
Daisy Fan,"Super inspirational professor who clearly loves CS! Although the assignments took a long time, they were completely based on material learned in lecture (as are the exams.) She was great about using a wide variety of creative examples to explain thing.", CS1110,"QUALITY
5.0
DIFFICULTY
3.0","Jun 1st, 2020"
Daisy Fan,Literally the best prof I've had at Cornell. Very clear and logical lectures., CS1110,"QUALITY
5.0
DIFFICULTY
2.0","May 18th, 2020"
Daisy Fan,Really loved her lectures. Clear and logical., CS1110,"QUALITY
5.0
DIFFICULTY
3.0","Apr 15th, 2020"
Daisy Fan,"Prof Fan's been teaching the course every semester for a number of years, and it shows. As someone who had never coded before this class, I was able to do very well by studying the lecture slides. The 6 projects take a long time, but they also helped me with the material a TON. There was no curve, so be sure to not make careless errors on exams.", CS1112,"QUALITY
5.0
DIFFICULTY
2.0","Jun 20th, 2019"
Daisy Fan,"Lectures were pretty good but get ready to spend hours on the projects. Projects are definitely do-able, just time-consuming. Be wary.", CS1112,"QUALITY
3.0
DIFFICULTY
3.0","Jan 24th, 2019"
Daisy Fan,"I had minimal cs experience going into this class but Daisy WILL teach you how to code by the time you come out. She is easily one of the kindest, most compassionate and caring professors who will do everything she can to help you succeed. The projects can be overwhelming and terrifying but if you do them the tests are VERY fair and manageable.", CS1112,"QUALITY
5.0
DIFFICULTY
5.0","Dec 21st, 2018"
Daisy Fan,"A great lecturer who really helps give comprehensive insight on the material. This was my first ever computer science course, and while the material was difficult at times, it was a rewarding experience to go through. She provides the textbook online for free and keeps lectures interactive with clicker questions as well.", CS1112,"QUALITY
4.0
DIFFICULTY
2.0","Dec 20th, 2018"
Daisy Fan,"While she is one of more empathetic and caring professors on this campus, the course itself gave me a lot of anxiety. It never felt like a intro class to me because too many people who had coding experience and they were are the only ones getting high grades. The class was hard and deflated as 92 was a B+. If you value your grade take python.", CS1112,"QUALITY
4.0
DIFFICULTY
5.0","Dec 2nd, 2018"
Daisy Fan,I really love her class. The lecture is delivered super clear in a detailed way. She's very humorous and the class is very attractive. I really learned a lot during the class. Though the assignment can be quite challenging sometimes., CS1132,"QUALITY
5.0
DIFFICULTY
3.0","Oct 26th, 2018"
Daisy Fan,"Clear lecturer and very open to helping students outside of class. The course is a very standard intro programming course, doesn't really teach specific features of MATLAB. I learned the most from projects, but lectures were also helpful. Additional resources like the recommended reading and discussions were slightly less important to me.", CS1112,"QUALITY
5.0
DIFFICULTY
3.0","Oct 14th, 2018"
Daisy Fan,"Such a passionate and energetic woman. Absolutely love her. Her lectures are clear and organized, and she is very approachable outside of class.", CS1112,"QUALITY
5.0
DIFFICULTY
3.0","Jul 16th, 2018"
Daisy Fan,"She's a nice lady. The projects can get lengthy towards the end. The tests weren't too hard, but they would take off for the most insignificant things. Make sure to look over their rating on prelims, they messed up on both of mine and I got some points back.", CS1112,"QUALITY
5.0
DIFFICULTY
2.0","Mar 10th, 2018"
Daisy Fan,"Intro CS classes can be tough because some people know how to code, others don't. Some people can pick it up easily, others don't. While I found her lectures interesting, the assignments I found impossible because the lectures were not directly related to the assignments. I spent 20-25 hours every other week in office hours in order to complete hw.", CS1112,"QUALITY
3.0
DIFFICULTY
5.0","Feb 2nd, 2018"
Daisy Fan,I took this class with absolutely no coding experience and it was extremely hard in the beginning. This class is an absurd mix of students with no experience and students who've been coding for years. It takes some time and lots of practice (give urself time for the projects!!!!) but Daisy really will teach u how to code and succeed if u stick w it, CS1112,"QUALITY
5.0
DIFFICULTY
4.0","Dec 9th, 2017"
Daisy Fan,"You have to go to class because she does clicker questions. Also, the code discussed in class is very likely to show up on the prelims. Sometimes her pacing is a little wonky (both too fast and too slow), but the discussion sections help you get over that lapse. Overall, she's a pretty fun professor and I would take her again.", CS1112,"QUALITY
4.0
DIFFICULTY
3.0","Dec 6th, 2017"
Daisy Fan,"The projects will be the best way to learn the material, and sometimes she speaks softly.", CS1112,"QUALITY
4.0
DIFFICULTY
3.0","Nov 15th, 2017"
Daisy Fan,"I really appreciated Daisy's effort she put in to her lectures. It definitely felt like she knew what she was talking about and tried to convey the relevant stuff. She was also incredibly helpful in office hours, and I couldn't have done the projects without her help.", CS1112,"QUALITY
4.0
DIFFICULTY
3.0","Oct 2nd, 2017"
Daisy Fan,"I came into this class with no prior CS experience which made it very challenging. Considering that Daisy has to lecture to such as wide range of skill, she does a pretty good job. I learned a lot in this class, but definitely focus more on studying for exams considering they are worth nearly 3/4 of your course grade.", CS1112,"QUALITY
5.0
DIFFICULTY
4.0","Jun 2nd, 2017"
Daisy Fan,Great class. She is an amazing teacher who takes the time to walk thoroughly through even the simplest of concepts (if you're paying attention.) I came into the class with no CS background and now am considering CS as my major. Be prepared to work your ass off when the projects come around!, CS1112,"QUALITY
5.0
DIFFICULTY
4.0","Jan 19th, 2017"
Daisy Fan,"She is a great lecturer! The projects were difficult and took insane amounts of time, but the exams were never as bad as the projects", CS1112,"QUALITY
5.0
DIFFICULTY
3.0","Dec 10th, 2016"
Daisy Fan,"Tests are fair. Projects are a lot of work. If you have background experience in programming this class will be easier, which explains the amount of people that gave this class a 1 in difficulty.", CS1112,"QUALITY
4.0
DIFFICULTY
4.0","Dec 6th, 2016"
Daisy Fan,CS 1112 is a difficult class but Daisy is a great lecturer, CS1112,"QUALITY
5.0
DIFFICULTY
5.0","Dec 2nd, 2016"
Daisy Fan,"Daisy Fan has really basic lectures. Her book for cs1112 barely helps. Lecture recordings available online, which is good. Discussions are helpful. However, her projects are going to murder you. Expect zero hours of work some weeks and 20 hours when there are projects due. Don't take 112 if you can take 110. Easy if you have a cs background.", CS1112,"QUALITY
2.0
DIFFICULTY
4.0","Dec 1st, 2016"
Daisy Fan,I feel bad for Her. She has to teach an intro CS class so kids who have been coding since 2 yrs don't get 100s and kids who have never coded don't get 0s. Daisy obviously fails & the poor kids who needed it most come out with a horrid grade and hatred for CS. Cornell needs to create a different class for the kids who already have a basis in coding, CS1112,"QUALITY
3.0
DIFFICULTY
5.0","Apr 12th, 2016"
Daisy Fan,"Lectures were often confusing and a bit dull. If you fall behind in this class it can be difficult to catch up. The grading policy is a bit unfair. There is no curve and grading on tests and assignments is sometimes very harsh. If you're already familiar with cs, this class won't be a problem.", CS1112,"QUALITY
2.5
DIFFICULTY
4.0","Dec 23rd, 2015"
Daisy Fan,"Very helpful, if somewhat boring during lecture, professor. The class is very easy if you just do everything you're supposed to. I just felt that the lectures that took 50 minutes or more could have easily been finished in 10. It just got really boring, I ended up sleeping through the majority of the later lectures cause it got really repetitive", CS1112,"QUALITY
4.0
DIFFICULTY
1.0","May 25th, 2015"
Daisy Fan,"Daisy Fan is a really good professor. Her lectures are organized, and she also posts them online. She's very friendly if you have any questions, and the course staff are also pretty helpful. The projects take hours to complete, so try to get a partner. Make sure you don't got to consulting the day before its due, because you won't get any help.", CS1112,"QUALITY
4.5
DIFFICULTY
4.0","May 18th, 2015"
Daisy Fan,Really clear and organized lectures. Much easier than 1110., CS1120,"QUALITY
5.0
DIFFICULTY
1.0","Apr 11th, 2015"
Daisy Fan,"Very enthusiastic lecturer, and very clear. Assignments are tough, but tests are very fair.", CS1112,"QUALITY
4.5
DIFFICULTY
3.0","Feb 22nd, 2015"
Daisy Fan,Lectures are clear and helpful but often more repetitive and thorough than necessary. Probably boring for anyone who already knows something about programming. Professor is nice and willing to answer questions. The reading is helpful but not entirely necessary. No homework besides projects., CS1112,"QUALITY
4.5
DIFFICULTY
2.0","Jan 19th, 2015"
Daisy Fan,Professor Fan is amazing. Her class is well organized and pretty clear and I would definitely recommend it. Assignments are time-consuming but tests are generally straightforward., CS1112,"QUALITY
5.0
DIFFICULTY
2.0","Jan 18th, 2015"
Daisy Fan,"Good class - clear, well-organized, and an easy A if you put in the time.", CS1112,"QUALITY
5.0
DIFFICULTY
2.0","Jan 3rd, 2015"
Daisy Fan,"Lectures were actually interesting, definitely lots of extra help available with consultingoffice hours. Very light workload other than projects which were tough but definitely enough time given.", 1112,"QUALITY
4.5
DIFFICULTY
3.0","Dec 25th, 2014"
Daisy Fan,Great lecturer. Very clear., CS1112,"QUALITY
4.5
DIFFICULTY
3.0","Dec 13th, 2014"
Daisy Fan,"No prior MATLAB experience. Professor is meh. Lectures are clear and she seems enthusiastic, but she's very repetitive and simplifies things so I dosed off for almost every lecture. Sometimes the simplification even makes things more difficult. The first exam was very easy, but the rest were relatively difficult. Projects are very time consuming.", CS1112,"QUALITY
3.0
DIFFICULTY
3.0","Nov 20th, 2014"
Daisy Fan,"Lovely professor with an enthusiastic personality. The 6 projects are interesting and not substantially time consuming. She often rants endlessly about the same concept for half an hour without moving forward which often makes lectures boring. Loved the class, take it!", CS1112,"QUALITY
4.5
DIFFICULTY
1.0","Nov 11th, 2014"
Daisy Fan,"I came into the class with no prior programming experience, but the material was very straightforward, Daisy did a great job of explaining the concepts. The projects took a long time but were otherwise fine, the tests were a little on the easy side.", CS1112,"QUALITY
5.0
DIFFICULTY
2.0","May 5th, 2014"
Daisy Fan,Really enthusiastic professor who is very clear and logical. Projects get exponentially more challenging but exams are pretty simple., CS1112,"QUALITY
5.0
DIFFICULTY
3.0","Jan 20th, 2014"
